,t1,x1,y1,t2,x2,y2,t3,x3,y3,distance_1,distance_2,distance_3,distance_11,distance_22,distance_33,distance_111,distance_222,distance_333,distance_10,distance_20,distance_30
0,0.0,423.5,944.8,0.0,704.8,562.6,0.0,1030.0,324.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3,423.5,944.8,0.3,693.0,564.6,0.3,1030.0,324.7,0.0,11.9682914403017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.23999999999893,0.0
2,0.599,423.5,944.8,0.599,692.6,567.9,0.599,1030.0,324.7,0.0,3.3241540277188846,0.0,0.0,13.301503674397036,0.0,0.0,0.0,0.0,0.0,176.92999999999785,0.0
3,0.899,423.0,942.8,0.899,694.7,568.7,0.899,1030.0,324.8,2.0615528128088303,2.2472205054244685,0.10000000000002274,2.0615528128088303,4.438468204234468,0.10000000000002274,2.0615528128088303,11.799152511939086,0.10000000000002274,4.25,139.21999999999844,0.010000000000004547
4,1.199,424.3,943.2,1.199,694.3,571.6,1.199,1030.0,325.0,1.360147050873582,2.9274562336608794,0.19999999999998863,1.7888543819997555,4.071854614300479,0.30000000000001137,1.7888543819997555,7.119691004531017,0.30000000000001137,3.1999999999997275,191.25,0.09000000000000682
5,1.499,425.3,942.7,1.499,696.0,573.5,1.499,1030.0,321.6,1.118033988749895,2.549509756796406,3.3999999999999773,2.302172886644275,4.972926703662487,3.1999999999999886,2.7658633371878047,6.551335741663688,3.099999999999966,7.649999999999659,196.2499999999987,9.609999999999788
6,1.798,422.3,942.6,1.798,699.6,574.4,1.798,1030.0,325.1,3.0016662039607276,3.7107950630559112,3.5,2.0880613017821164,5.994163828258323,0.10000000000002274,0.7280109889280221,7.516648189186387,0.30000000000001137,6.2799999999996725,166.2799999999982,0.1600000000000273
7,2.098,423.5,942.8,2.098,694.2,582.5,2.098,1040.0,322.7,1.2165525060596214,9.734988443752778,10.283968105745961,1.802775637732001,9.178235124467005,10.060318086422512,0.8944271909999667,10.90045870594442,10.26109155986828,4.0,508.36999999999716,104.0
8,2.398,421.0,939.2,2.398,694.0,577.9,2.398,1030.0,324.8,4.382921400162151,4.60434577328856,10.21812115802118,3.640054944640242,6.603786792439642,0.30000000000001137,5.5443665102516535,4.833218389437808,3.1999999999999886,37.609999999998976,350.72999999999763,0.010000000000004547
9,2.697,420.2,942.1,2.697,688.5,580.3,2.697,1030.0,325.0,3.008321791298246,6.00083327547099,0.19999999999998863,3.373425558686597,6.10982814815611,10.26109155986828,2.1587033144923122,12.57060062208645,0.10000000000002274,18.17999999999971,578.9799999999962,0.09000000000000682
10,2.997,391.5,976.7,2.997,689.6,585.4,2.997,1040.0,322.8,44.953865239821155,5.21727898429826,10.239140588936161,47.71268175233918,8.695401083331337,10.198039027185569,46.61770050099003,5.437830449729017,0.10000000000002274,2041.6100000000058,750.8799999999958,103.60999999999991
