t1,x1,y1,t2,x2,y2,t3,x3,y3
0,423.5,944.8,0,704.8,562.6,0,1.03E+03,324.7
0.3,423.5,944.8,0.3,693,564.6,0.3,1.03E+03,324.7
0.599,423.5,944.8,0.599,692.6,567.9,0.599,1.03E+03,324.7
0.899,423,942.8,0.899,694.7,568.7,0.899,1.03E+03,324.8
1.199,424.3,943.2,1.199,694.3,571.6,1.199,1.03E+03,325
1.499,425.3,942.7,1.499,696,573.5,1.499,1.03E+03,321.6
1.798,422.3,942.6,1.798,699.6,574.4,1.798,1.03E+03,325.1
2.098,423.5,942.8,2.098,694.2,582.5,2.098,1.04E+03,322.7
2.398,421,939.2,2.398,694,577.9,2.398,1.03E+03,324.8
2.697,420.2,942.1,2.697,688.5,580.3,2.697,1.03E+03,325
2.997,391.5,976.7,2.997,689.6,585.4,2.997,1.04E+03,322.8
3.297,422.7,941.1,3.297,687.8,587.5,3.297,1.04E+03,326.6
3.596,423.9,940.6,3.596,683.9,587.4,3.596,1.04E+03,325.3
3.896,411,959.7,3.896,684.8,578,3.896,1.04E+03,325.5
4.196,423.9,938.8,4.196,684.5,567.4,4.196,1.00E+03,359.1
4.496,423.8,937.5,4.496,693.4,570.4,4.496,1.04E+03,325.6
4.795,421.2,946.8,4.795,689.6,567.7,4.795,1.00E+03,349.8
5.095,415.8,937.7,5.095,687,567.6,5.095,997.7,340.9
5.395,417.6,939.4,5.395,677.6,566.7,5.395,989.4,340.6
5.694,419.3,937.9,5.694,678.1,564.3,5.694,991,340.5
5.994,423.2,926.4,5.994,683.4,563,5.994,997.7,339.7
6.294,427.7,931,6.294,685.8,561,6.294,1.01E+03,337.5
6.594,420.6,931.1,6.594,684.1,558.7,6.594,1.01E+03,329.7
6.893,425.6,940.3,6.893,679.9,566.7,6.893,1.01E+03,328.4
7.193,425.6,946.9,7.193,687.2,568.7,7.193,1.02E+03,327.5
7.493,423.4,949.2,7.493,687.4,568.2,7.493,1.02E+03,323.1
7.792,409.8,943.9,7.792,689.5,564.8,7.792,1.02E+03,324.8
8.092,402.1,943.8,8.092,692.4,562.1,8.092,1.02E+03,330.9
8.392,409.6,953.1,8.392,692.3,556,8.392,1.02E+03,326.4
8.691,412.6,954.8,8.691,688.2,551.8,8.691,1.03E+03,323
8.991,405.5,952.1,8.991,695.9,550.5,8.991,1.04E+03,329.3
