t1,x1,y1,t2,x2,y2,t3,x3,y3
0,831.3,1.05E+03,0,996.1,905.3,0,1.19E+03,1.11E+03
0.321,833.1,1.05E+03,0.321,996.1,905.3,0.321,1.19E+03,1.11E+03
0.643,843.2,1.05E+03,0.643,995.9,908.7,0.643,1.19E+03,1.11E+03
1.285,854,1.05E+03,1.285,998.6,917.5,1.285,1.20E+03,1.12E+03
1.606,844.4,1.05E+03,1.606,994.5,905.8,1.606,1.21E+03,1.13E+03
1.928,843.6,1.05E+03,1.928,998,907.5,1.928,1.21E+03,1.14E+03
2.249,854,1.05E+03,2.249,999.5,907.6,2.249,1.21E+03,1.14E+03
2.57,854.1,1.05E+03,2.57,1.01E+03,905.7,2.57,1.20E+03,1.14E+03
2.892,846,1.06E+03,2.892,1.01E+03,905.8,2.892,1.19E+03,1.14E+03
3.213,839.7,1.06E+03,3.213,1.01E+03,898.4,3.213,1.19E+03,1.14E+03
3.534,829.9,1.07E+03,3.534,1.01E+03,905.4,3.534,1.19E+03,1.14E+03
3.855,826.5,1.07E+03,3.855,975.7,933.1,3.855,1.19E+03,1.13E+03
4.177,828.7,1.07E+03,4.177,982.6,938.3,4.177,1.19E+03,1.13E+03
4.498,819.5,1.07E+03,4.498,989.2,933.8,4.498,1.20E+03,1.13E+03
4.819,828.2,1.07E+03,4.819,980.8,926.4,4.819,1.19E+03,1.13E+03
5.141,830.5,1.07E+03,5.141,984.9,924.9,5.141,1.19E+03,1.14E+03
5.783,836.6,1.06E+03,5.783,995.8,927.2,5.783,1.18E+03,1.14E+03
6.104,847.8,1.06E+03,6.104,998.9,913,6.104,1.17E+03,1.14E+03
6.426,853.4,1.06E+03,6.426,1.00E+03,915.7,6.426,1.16E+03,1.14E+03
6.747,846.3,1.07E+03,6.747,995.6,917.5,6.747,1.16E+03,1.14E+03
7.068,855.9,1.07E+03,7.068,1.00E+03,922.6,7.068,1.16E+03,1.16E+03
7.39,860,1.06E+03,7.39,996.8,920.4,7.39,1.15E+03,1.16E+03
7.711,855.1,1.06E+03,7.711,992.9,917.2,7.711,1.15E+03,1.16E+03
8.032,844.7,1.06E+03,8.032,996.1,915.3,8.032,1.16E+03,1.16E+03
8.353,832.2,1.05E+03,8.353,995.5,913.7,8.353,1.16E+03,1.17E+03
8.675,836,1.06E+03,8.675,990.8,909,8.675,1.16E+03,1.16E+03
